Symbol,Name,Sector,Industry,Summary Quote
IDCC,"InterDigital, Inc.",Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/idcc
TILE,"Interface, Inc.",Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/tile
LINK,"Interlink Electronics, Inc.",Technology,Computer peripheral equipment,https://www.nasdaq.com/symbol/link
IMI,"Intermolecular, Inc.",Technology,Semiconductors,https://www.nasdaq.com/symbol/imi
INAP,Internap Corporation,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/inap
IBOC,International Bancshares Corporation,Finance,Major Banks,https://www.nasdaq.com/symbol/iboc
ISCA,International Speedway Corporation,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/isca
IGLD,Internet Gold Golden Lines Ltd.,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/igld
IIJI,"Internet Initiative Japan, Inc.",Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/iiji
IDXG,"Interpace Diagnostics Group, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/idxg
XENT,"Intersect ENT, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/xent
INTX,"Intersections, Inc.",Technology,EDP Services,https://www.nasdaq.com/symbol/intx
IVAC,"Intevac, Inc.",Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/ivac
INTL,INTL FCStone Inc.,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/intl
ITCI,Intra-Cellular Therapies Inc.,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/itci
IIN,IntriCon Corporation,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/iin
INTU,Intuit Inc.,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/intu
ISRG,"Intuitive Surgical, Inc.",Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/isrg
ISTR,Investar Holding Corporation,Finance,Major Banks,https://www.nasdaq.com/symbol/istr
ISBC,"Investors Bancorp, Inc.",Finance,Major Banks,https://www.nasdaq.com/symbol/isbc
ITIC,Investors Title Company,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/itic
NVIV,InVivo Therapeutics Holdings Corp.,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/nviv
IVTY,"Invuity, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/ivty
IONS,"Ionis Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ions
IOVA,"Iovance Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/iova
IPAS,iPass Inc.,Technology,EDP Services,https://www.nasdaq.com/symbol/ipas
IPGP,IPG Photonics Corporation,Technology,Semiconductors,https://www.nasdaq.com/symbol/ipgp
IPIC,iPic Entertainment Inc.,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/ipic
CLRG,IQ Chaikin U.S. Large Cap ETF,n/a,n/a,https://www.nasdaq.com/symbol/clrg
CSML,IQ Chaikin U.S. Small Cap ETF,n/a,n/a,https://www.nasdaq.com/symbol/csml
IQ,"iQIYI, Inc.",Consumer Services,Consumer Electronics/Video Chains,https://www.nasdaq.com/symbol/iq
IRMD,iRadimed Corporation,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irmd
IRTC,"iRhythm Technologies, Inc.",Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/irtc
IRIX,IRIDEX Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/irix
IRDM,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdm
IRDMB,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/irdmb
IRBT,iRobot Corporation,Consumer Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/irbt
IRWD,"Ironwood Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/irwd
IRCP,IRSA Propiedades Comerciales S.A.,Consumer Services,Building operators,https://www.nasdaq.com/symbol/ircp
PMPT,iSectors Post-MPT Growth ETF,n/a,n/a,https://www.nasdaq.com/symbol/pmpt
SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/slqd
CSJ,iShares 1-3 Year Credit Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/csj
ISHG,iShares 1-3 Year International Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/ishg
SHY,iShares 1-3 Year Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/shy
TLT,iShares 20+ Year Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/tlt
IEI,iShares 3-7 Year Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/iei
IEF,iShares 7-10 Year Treasury Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/ief
AIA,iShares Asia 50 ETF,n/a,n/a,https://www.nasdaq.com/symbol/aia
COMT,iShares Commodities Select Strategy ETF,n/a,n/a,https://www.nasdaq.com/symbol/comt
ISTB,iShares Core 1-5 Year USD Bond ETF,n/a,n/a,https://www.nasdaq.com/symbol/istb
IXUS,iShares Core MSCI Total International Stock ETF,n/a,n/a,https://www.nasdaq.com/symbol/ixus
IUSG,iShares Core S&P U.S. Growth ETF,n/a,n/a,https://www.nasdaq.com/symbol/iusg
